Date (GMT+1),Cross border electricity trading,Non-Renewable,Renewable,Load,"CO2 Emission Allowances, Auction DE"
2018-01-01 00:00:00,-14932.64,12957.49,38592.13,45342.03,7.07
2018-01-01 01:00:00,-15844.44,12975.67,39610.16,44178.56,7.07
2018-01-01 02:00:00,-16276.32,12928.0,40190.09,43073.57,7.07
2018-01-01 03:00:00,-16361.63,12859.5,41054.63,42392.14,7.07
2018-01-01 04:00:00,-15642.35,12882.23,41158.26,42370.59,7.07
2018-01-01 05:00:00,-15586.13,12907.09,41746.93,42134.69,7.07
2018-01-01 06:00:00,-15669.5,12731.32,41140.34,41077.22,7.07
2018-01-01 07:00:00,-14329.76,12518.15,40543.78,41657.19,7.07
2018-01-01 08:00:00,-13384.77,12176.08,40409.91,42735.5,7.07
2018-01-01 09:00:00,-13714.63,12369.65,42381.77,45102.08,7.07
2018-01-01 10:00:00,-15392.05,12510.54,45944.78,47702.24,7.07
2018-01-01 11:00:00,-16118.16,12577.9,48670.77,50323.74,7.07
2018-01-01 12:00:00,-16707.58,12381.45,48552.93,51857.09,7.07
2018-01-01 13:00:00,-16280.46,12431.59,45569.52,50764.3,7.07
2018-01-01 14:00:00,-11337.92,12453.91,40146.35,49517.36,7.07
2018-01-01 15:00:00,-8253.03,13197.07,35327.5,49647.12,7.07
2018-01-01 16:00:00,-7758.49,15795.66,30906.2,51861.09,7.07
2018-01-01 17:00:00,-6366.1,17636.16,29416.65,55475.14,7.07
2018-01-01 18:00:00,-7652.04,18323.65,28480.73,56312.55,7.07
2018-01-01 19:00:00,-8021.6,18905.11,27999.76,54855.81,7.07
2018-01-01 20:00:00,-9006.81,19640.76,26819.19,52326.02,7.07
2018-01-01 21:00:00,-10610.8,20143.68,26285.94,50419.68,7.07
2018-01-01 22:00:00,-9019.95,20563.38,25711.17,49566.05,7.07
2018-01-01 23:00:00,-8113.25,20353.51,25007.37,46444.16,7.07
2018-01-02 00:00:00,-7586.9,19850.31,24210.68,43521.36,7.07
2018-01-02 01:00:00,-7219.62,18690.42,24041.42,41590.42,7.07
2018-01-02 02:00:00,-6414.97,18009.15,23392.0,41134.38,7.07
2018-01-02 03:00:00,-6101.12,17415.11,23427.87,41555.3,7.07
2018-01-02 04:00:00,-6723.6,18906.5,24211.3,42913.33,7.07
2018-01-02 05:00:00,-7756.53,20851.45,24685.93,46445.91,7.07
2018-01-02 06:00:00,-7212.95,24122.32,25581.01,52925.07,7.07
2018-01-02 07:00:00,-6988.48,26456.91,25996.65,59181.21,7.07
2018-01-02 08:00:00,-5893.59,28090.6,25862.0,63011.7,7.07
2018-01-02 09:00:00,-5999.32,29703.23,26327.18,64821.55,7.07
2018-01-02 10:00:00,-5315.32,30156.61,27012.33,66749.28,7.07
2018-01-02 11:00:00,-6051.27,30641.72,28463.99,68297.14,7.07
2018-01-02 12:00:00,-6784.16,30581.55,30036.23,68940.08,7.07
2018-01-02 13:00:00,-6152.03,30937.47,28995.42,68195.76,7.07
2018-01-02 14:00:00,-5402.98,31290.93,26259.02,66762.74,7.07
2018-01-02 15:00:00,-4180.63,31654.38,24192.94,66176.97,7.07
2018-01-02 16:00:00,-3251.05,31586.06,24177.32,67337.45,7.07
2018-01-02 17:00:00,-3218.5,32004.8,25512.7,69999.08,7.07
2018-01-02 18:00:00,-3846.91,31790.83,27167.67,69788.94,7.07
2018-01-02 19:00:00,-3276.38,30407.5,29150.02,68395.04,7.07
2018-01-02 20:00:00,-6215.97,27584.46,30738.8,64505.51,7.07
2018-01-02 21:00:00,-8171.0,24968.27,32094.57,61329.93,7.07
2018-01-02 22:00:00,-9831.35,21617.88,33499.39,59142.61,7.07
2018-01-02 23:00:00,-10949.07,18437.59,35692.7,55302.01,7.07
2018-01-03 00:00:00,-10688.51,15978.12,37890.92,52425.15,7.07
2018-01-03 01:00:00,-10082.09,15095.66,39780.33,50409.62,7.07
2018-01-03 02:00:00,-11669.0,14949.15,41264.71,49694.1,7.07
2018-01-03 03:00:00,-12237.41,14737.28,43427.97,50417.22,7.07
2018-01-03 04:00:00,-12224.81,14647.47,45113.09,52085.52,7.07
2018-01-03 05:00:00,-12600.8,14937.76,45331.73,55509.48,7.07
2018-01-03 06:00:00,-11809.01,16210.67,46537.81,61713.78,7.07
2018-01-03 07:00:00,-12061.69,17954.07,46115.89,66992.73,7.07
2018-01-03 08:00:00,-10823.71,18901.15,46314.94,70445.44,7.07
2018-01-03 09:00:00,-10281.22,19942.01,45977.75,71765.06,7.07
2018-01-03 10:00:00,-11523.8,21987.29,46345.73,73132.26,7.07
2018-01-03 11:00:00,-11572.98,22412.6,47417.24,74414.45,7.07
2018-01-03 12:00:00,-11582.96,22049.25,47695.26,74095.51,7.07
2018-01-03 13:00:00,-11893.27,22199.1,47249.91,73153.01,7.07
2018-01-03 14:00:00,-11848.2,22241.67,46843.19,71514.89,7.07
2018-01-03 15:00:00,-11775.7,22117.05,46103.19,70967.48,7.07
2018-01-03 16:00:00,-12149.55,22211.81,46119.07,72428.68,7.07
2018-01-03 17:00:00,-11984.5,22388.7,47783.51,75247.86,7.07
2018-01-03 18:00:00,-11565.89,22118.38,48846.38,74738.79,7.07
2018-01-03 19:00:00,-11591.77,19881.13,49046.4,72723.92,7.07
2018-01-03 20:00:00,-12181.4,17548.65,49072.62,68886.62,7.07
2018-01-03 21:00:00,-12042.59,16336.44,49337.89,65360.12,7.07
2018-01-03 22:00:00,-13361.16,16007.23,48055.19,62852.9,7.07
2018-01-03 23:00:00,-14854.32,15722.8,47509.08,58640.2,7.07
2018-01-04 00:00:00,-15910.3,15854.08,46787.88,54761.38,7.07
2018-01-04 01:00:00,-16886.25,15763.12,46020.4,52479.55,7.07
2018-01-04 02:00:00,-16252.68,15525.36,44932.85,51345.74,7.07
2018-01-04 03:00:00,-14226.13,15718.58,43764.61,51629.54,7.07
2018-01-04 04:00:00,-12970.43,16226.17,41641.43,52690.21,7.07
2018-01-04 05:00:00,-11923.48,18013.24,39269.29,55222.88,7.07
2018-01-04 06:00:00,-9694.27,22018.22,37307.54,60996.97,7.07
2018-01-04 07:00:00,-9016.22,26578.74,35042.73,66549.3,7.07
2018-01-04 08:00:00,-7834.41,29391.31,32585.03,69605.31,7.07
