Date (GMT+1),Cross border electricity trading,Non-Renewable,Renewable,Load,"CO2 Emission Allowances, Auction DE"
2023-01-01T00:00+01:00,-12557.67,8972.5,36606.37,38346.04,83.41
2023-01-01T01:00+01:00,-15382.57,8766.41,37638.88,37777.2,83.41
2023-01-01T02:00+01:00,-16357.49,8743.59,37838.87,36939.93,83.41
2023-01-01T03:00+01:00,-14005.91,8742.11,35322.31,35932.39,83.41
2023-01-01T04:00+01:00,-14543.99,8704.77,34805.7,35486.24,83.41
2023-01-01T05:00+01:00,-13634.02,8642.74,35020.39,35647.16,83.41
2023-01-01T06:00+01:00,-13734.52,8683.68,34813.36,35231.6,83.41
2023-01-01T07:00+01:00,-14820.01,8702.79,35592.2,36172.13,83.41
2023-01-01T08:00+01:00,-12876.43,8667.88,35100.31,36829.34,83.41
2023-01-01T09:00+01:00,-13778.22,8631.11,37153.94,39226.6,83.41
2023-01-01T10:00+01:00,-14653.01,8606.47,39352.77,41005.55,83.41
2023-01-01T11:00+01:00,-13504.68,8632.01,40635.41,43702.86,83.41
2023-01-01T12:00+01:00,-12382.26,8635.85,39544.85,44205.64,83.41
2023-01-01T13:00+01:00,-11129.86,8857.69,37703.29,43621.67,83.41
2023-01-01T14:00+01:00,-10365.64,8926.41,37451.38,43231.73,83.41
2023-01-01T15:00+01:00,-8730.39,8961.75,36027.11,43691.52,83.41
2023-01-01T16:00+01:00,-5277.56,9602.45,33114.61,45668.82,83.41
2023-01-01T17:00+01:00,-2689.42,9409.58,31953.11,48732.21,83.41
2023-01-01T18:00+01:00,-942.43,9896.35,31293.19,48882.22,83.41
2023-01-01T19:00+01:00,-1405.39,9802.38,30729.39,47468.39,83.41
2023-01-01T20:00+01:00,-1774.67,9624.72,30630.84,44883.38,83.41
2023-01-01T21:00+01:00,-3059.82,9388.26,30946.42,43222.82,83.41
2023-01-01T22:00+01:00,-2673,9419.79,29047.12,42277.85,83.41
2023-01-01T23:00+01:00,-4382.56,9471.65,28319.12,39092.87,83.41
2023-01-02T00:00+01:00,-3408.32,9757.61,26783.98,36789.95,83.41
2023-01-02T01:00+01:00,-2426.26,9736.81,26088.63,35423.75,83.41
2023-01-02T02:00+01:00,-3619.84,9813.74,27294.51,35284.15,83.41
2023-01-02T03:00+01:00,-3672.58,9865.06,28527.37,36058.53,83.41
2023-01-02T04:00+01:00,-5495.43,10717.55,30349.53,37795.64,83.41
2023-01-02T05:00+01:00,-5287.75,11575.19,31613.16,40898.8,83.41
2023-01-02T06:00+01:00,-5570.24,13753.22,33763.52,47069.32,83.41
2023-01-02T07:00+01:00,-6849.88,16260.21,35425.24,52316.93,83.41
2023-01-02T08:00+01:00,-7509.52,17155.2,37619.33,56230.99,83.41
2023-01-02T09:00+01:00,-10537.85,18558.33,40085.42,57444.83,83.41
2023-01-02T10:00+01:00,-13333.87,19676.38,41360.45,59240.69,83.41
2023-01-02T11:00+01:00,-12949.34,20115.94,42705.26,60654.42,83.41
2023-01-02T12:00+01:00,-10433.2,19666.03,42716.9,61571.56,83.41
2023-01-02T13:00+01:00,-9987.96,20152.38,41278.03,60447.93,83.41
2023-01-02T14:00+01:00,-9045.41,20851.56,39050.46,59188.3,83.41
2023-01-02T15:00+01:00,-7428.03,21172.62,35691.07,59014.02,83.41
2023-01-02T16:00+01:00,-7565.03,21385.67,34378.57,59885.66,83.41
2023-01-02T17:00+01:00,-8412.06,21800.35,34555.45,61093.88,83.41
2023-01-02T18:00+01:00,-8592.46,21878.75,34850.53,60650.13,83.41
2023-01-02T19:00+01:00,-7656.74,22085.39,34443.36,59584.2,83.41
2023-01-02T20:00+01:00,-6939.04,21856.55,33506.96,56000.83,83.41
2023-01-02T21:00+01:00,-8364.58,21355.92,32324.97,53154.31,83.41
2023-01-02T22:00+01:00,-9322.87,21230.89,31027.89,50189.26,83.41
2023-01-02T23:00+01:00,-9845.98,20701.94,30101.93,47103.45,83.41
2023-01-03T00:00+01:00,-8836.02,20058.8,28894.88,44238.4,83.41
2023-01-03T01:00+01:00,-9948.34,19968.03,27762.75,42383.41,83.41
2023-01-03T02:00+01:00,-6882.66,19414.6,26381.5,41816.4,83.41
2023-01-03T03:00+01:00,-5939.76,19578.92,24918.66,41849.59,83.41
2023-01-03T04:00+01:00,-2799.42,20094.79,23635.53,43469.16,83.41
2023-01-03T05:00+01:00,-1683.1,21140.69,22320.57,45864.73,83.41
2023-01-03T06:00+01:00,255.62,23927.95,21438.18,50854.66,83.41
2023-01-03T07:00+01:00,530.69,25787.18,20828.7,55892.86,83.41
2023-01-03T08:00+01:00,1990.18,26932.92,20494.74,58364.28,83.41
2023-01-03T09:00+01:00,-438.76,27312.08,22274.48,59363.34,83.41
2023-01-03T10:00+01:00,-415.73,27421.84,25046.24,60057.63,83.41
2023-01-03T11:00+01:00,-1991.49,27347.72,27321.69,60964.96,83.41
2023-01-03T12:00+01:00,-845.38,27188.24,27447.38,60692.61,83.41
2023-01-03T13:00+01:00,-688.09,27145.31,25945.58,59217.96,83.41
2023-01-03T14:00+01:00,491.83,27241.8,23349.89,58408.55,83.41
2023-01-03T15:00+01:00,2056.77,27247.85,20400.62,58067.98,83.41
2023-01-03T16:00+01:00,427.21,27285.23,19780.42,59323.72,83.41
2023-01-03T17:00+01:00,-2355.2,27723.71,22738.13,61914.38,83.41
2023-01-03T18:00+01:00,-1159.33,27423.97,25238.13,61545.46,83.41
2023-01-03T19:00+01:00,-604.44,26698.18,27831.8,59743.27,83.41
2023-01-03T20:00+01:00,-5833.36,25653.19,30799.41,56607.83,83.41
2023-01-03T21:00+01:00,-7981.43,23240.85,32794.33,53669.09,83.41
2023-01-03T22:00+01:00,-9897.33,20962.73,33890.1,51470.2,83.41
2023-01-03T23:00+01:00,-11175.49,17540.38,35692.63,48351.94,83.41
2023-01-04T00:00+01:00,-7752.56,13676.07,37607.54,46164.69,83.41
2023-01-04T01:00+01:00,-8953.73,12578.1,39587.69,44741.94,83.41
2023-01-04T02:00+01:00,-8810.88,12608.68,40129.05,44259.76,83.41
2023-01-04T03:00+01:00,-7190.98,12347.72,39018.16,45149.8,83.41
2023-01-04T04:00+01:00,-6502.32,12217.61,39780.87,46924.95,83.41
2023-01-04T05:00+01:00,-9020.24,12515.93,43890.67,49768.76,83.41
2023-01-04T06:00+01:00,-12593.83,13007.61,49980.16,55701.68,83.41
2023-01-04T07:00+01:00,-13598.28,13580.31,52007.08,60084.42,83.41
